refcode,Density,smiles
PUBMUU23,2.275,O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O
CTMTNA06,2.266,O=N(=O)N1CN(CN(C1)N(=O)=O)N(=O)=O
PUBMUU12,2.083,O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O
XIXQOL,2.067,O=C(NN(=O)=O)NN(=O)=O
PUBMUU20,2.044,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-]
UMUMEW,2.034,O=N(=O)NC1=NO[N+](=C1C1=[N+]([O-])ON=C1NN(=O)=O)[O-]
CUGCOW,2.024,O=[N+]([O-])C12C3C4([N+](=O)[O-])C1([N+](=O)[O-])C1([N+](=O)[O-])C2([N+](=O)[O-])C3([N+](=O)[O-])C41[N+](=O)[O-]
JIDDEI01,2.02,O=[N+]([O-])c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c(-c2c([N+](=O)[O-])c([N+](=O)[O-])nn2C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-]
BAPXEX,2.018,COC(=O)C1CC(N(O)C1c1ccc(C)cc1)C(=O)OC
TATNBZ03,2.016,Nc1c(c(N)c(c(N)c1N(=O)=O)N(=O)=O)N(=O)=O
NAYNUX01,2.014,O=[N+]([O-])N1C2OC3C4OC1C(N4[N+](=O)[O-])N([N+](=O)[O-])C2N3[N+](=O)[O-]
RIRGAA,2.008,N1C2=NON=C2NC2=NON=C12
MUGNUX,2.008,O=N(=O)N1C2OC3OC2N(C2OC3OC12)N(=O)=O
ZAGCOC,2.007,O=N(=O)NN1C(=NC(=C1N(=O)=O)N(=O)=O)C1=NC(=C(N1NN(=O)=O)N(=O)=O)N(=O)=O
QEVVIX,1.998,O=C1NC(NC(N1)=NN(=O)=O)=NN(=O)=O
CADREI,1.996,O=[N+]([O-])c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c2c([N+](=O)[O-])nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c12
ELUDEV,1.996,O=N(=O)NC1=NON=C1N=NC1=NON=C1NN(=O)=O
GEMZAZ,1.992,O=C1NC2C(NC(=O)N2[N+](=O)[O-])N1[N+](=O)[O-]
DUWZEC,1.991,O=N(=O)OC(ON(=O)=O)C(ON(=O)=O)ON(=O)=O
TEDYOT,1.99,O=[N+]([O-])N=c1[nH]nc(-c2n[nH]c(=N[N+](=O)[O-])o2)o1
LEGYOO,1.99,O=N(=O)NN1C2=C(C(=NN2CN2N=C(C(=C12)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
HNOBEN,1.988,O=[N+]([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
MUGNUX01,1.987,O=[N+]([O-])N1C2OC3OC2N([N+](=O)[O-])C2OC3OC21
