refcode,Density,SMILES
CUGCOW,2.024,O=N(=O)C12C3C4(N(=O)=O)C1(N(=O)=O)C1(N(=O)=O)C2(N(=O)=O)C3(N(=O)=O)C41N(=O)=O
PUBMUU02,2.044,O=N(=O)N1C2C3N(N(=O)=O)C4C1N(N(=O)=O)C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O
KURT08MO,2.028,[H]C([H])(N(N(=O)=O)C([H])([H])C(N(F)F)(N(=O)=O)N(=O)=O)C(N(F)F)(N(=O)=O)N(=O)=O
ELUDEV,1.996,O=N(=O)NC1=NON=C1N=NC1=NON=C1NN(=O)=O
UGUGUY,1.931,O=N(=O)C12C3C4(C1C1(N(=O)=O)C2(N(=O)=O)C3(N(=O)=O)C41N(=O)=O)N(=O)=O
KTNFC,2.184,O=N(=O)N1C2C(N(N(=O)=O)C1(C(F)(F)F)C(F)(F)F)N(N(=O)=O)C(C(F)(F)F)(C(F)(F)F)N2N(=O)=O
CUGDIR,1.978,O=N(=O)C12C3(N(=O)=O)C4(N(=O)=O)C1(N(=O)=O)C1(N(=O)=O)C2(N(=O)=O)C3(N(=O)=O)C41N(=O)=O
CUVFAA,1.905,FC(CC(F)(N(=O)=O)N(=O)=O)(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O
LELXOP,1.92,FC(CN(CC(C(ON(=O)=O)C(ON(=O)=O)C(CN(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
WILL6W,1.862,O=N(=O)c1nonc1N(CN(c2nonc2N(=O)=O)N(=O)=O)N(=O)=O
CUVDUS,1.965,FC(CC(CC(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
LIV47CC,1.893,O=N(=O)c1n[nH]c(N(=O)=O)c1N(=O)=O
KAHHIM,1.867,O=N(=O)C1=C(C(=NN1)N(=O)=O)N(=O)=O
XIXQOL,2.067,O=C(NN(=O)=O)NN(=O)=O
FNETAM01,1.916,FC(CN(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
DILFUZ,1.875,O=N(=O)N(CCN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
HA06,1.916,O=C2N(N(=O)=O)C1C(N(N(=O)=O)CN1N(=O)=O)N2N(=O)=O
HOBZEE,1.862,CN(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
EGEHAA,1.917,O=N(=O)OCC(CON(=O)=O)(N(=O)=O)C(CON(=O)=O)(CON(=O)=O)N(=O)=O
EAT45,1.82,[H]C([H])([H])C25C1(N(=O)=O)C4(N(=O)=O)C3(N(=O)=O)C1(N(=O)=O)C2(N(=O)=O)C3(N(=O)=O)C45N(=O)=O
CLC7871,1.931,O=C1N(N(=O)=O)CN(N(=O)=O)CN1N(=O)=O
PIC18A,1.915,[H]c1nc(N(=O)=O)c(N(=O)=O)n1F
CELFII,1.872,FC(C(OC=O)C(OC=O)C(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
XAHMIE,1.959,O=N(=O)N1CN(C2=NON=C2N(C1)N(=O)=O)N(=O)=O
ECUXOQ,1.907,[H]N1C4C2N(N(=O)=O)C1C3N(N(=O)=O)C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O
HNOBEN,1.968,O=N(=O)c1c(c(c(c(c1N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
NAWC09CD,1.904,O=N(=O)N1CC(N(F)F)(N(F)F)CN(N(=O)=O)CC(N(=O)=O)(N(=O)=O)C1
QEVVIX,1.998,O=C1NC(NC(N1)=NN(=O)=O)=NN(=O)=O
NACXEU,1.959,O=N(=O)C12C3C4(C1C1(C2C3(N(=O)=O)C41N(=O)=O)N(=O)=O)N(=O)=O
HA12,1.97,[H]N1C(=O)N(N(=O)=O)C3C1N(N(=O)=O)C2C(N([H])C(=O)N2N(=O)=O)N3N(=O)=O
NWC13A,1.932,O=CN1C2C3N(N(=O)=O)C4C1N(N(=O)=O)C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O
DFTNBD,1.946,OC(C(O)C(F)(N(=O)=O)N(=O)=O)C(F)(N(=O)=O)N(=O)=O
BCHMXLT,1.902,O=N(=O)N1CN(N(=O)=O)C2C1N(N(=O)=O)CN2N(=O)=O
OLOBIA,1.884,NC(NN(=O)=O)=NN(=O)=O
NOEURA,1.86,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O
DDE,1.883,[H]N([H])C(=C(N(=O)=O)N(=O)=O)N([H])[H]
NAWC08C,1.88,O=N(=O)N1CN(N(=O)=O)CC(N(F)F)(N(F)F)C1
HA10,1.945,[H]N1C(=O)N(N(=O)=O)C3C1N(N(=O)=O)C2C(N(N(=O)=O)C(=O)N2[H])N3N(=O)=O
ARCH05,1.813,O=N(=O)N1CCN=C1C(N(=O)=O)(N(=O)=O)N(=O)=O
CLC7882,1.905,[H]N1C(=O)N(N(=O)=O)C2C1N(N(=O)=O)CN2N(=O)=O
HMX04,1.903,O=N(=O)N1CN(N(=O)=O)CN(N(=O)=O)CN(N(=O)=O)C1
CUVXUM,1.884,FC(CC(N(=O)=O)(N(=O)=O)N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
CUVXOG,1.907,O=N(=O)C(CC(N(=O)=O)(N(=O)=O)N(=O)=O)CC(N(=O)=O)(N(=O)=O)N(=O)=O
CLC6871,1.969,O=C2N(N(=O)=O)C1C(N(N(=O)=O)CCN1N(=O)=O)N2N(=O)=O
VAYVIA,1.914,FC(CN(CC(F)(N(=O)=O)N(=O)=O)C(=O)C(=O)N(CC(F)(N(=O)=O)N(=O)=O)CC(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
TASJEC,1.923,FN(F)N1N=C(C(=C1C1=C(C(=NN1N(F)F)N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
BOTT107a,1.758,[H]N([H])n1nnc(N(=O)=O)n1
IAKAV,1.933,[H]N1C(=O)N(N(=O)=O)C2C1N(N(=O)=O)CCN2N(=O)=O
TNAZ,1.861,O=N(=O)N1CC(N(=O)=O)(N(=O)=O)C1
HNFX,1.807,O=N(=O)N1CC(N(F)F)(N(F)F)CN(N(=O)=O)CC(N(F)F)(N(F)F)C1
KUBPEC,1.806,O=N(=O)N1CC2(CN=C1C(N(=O)=O)(N(=O)=O)N(=O)=O)CN=C(N(C2)N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O
DINGU,1.992,O=C2NC1C(NC(=O)N1N(=O)=O)N2N(=O)=O
NOETA02,1.953,[H]N([H])N(C([H])([H])C(N(=O)=O)(N(=O)=O)N(=O)=O)C([H])([H])C(N(=O)=O)(N(=O)=O)N(=O)=O
QQQBRD02,2.075,O=N(=O)C(N(=O)=O)(N(=O)=O)C(N(=O)=O)(N(=O)=O)N(=O)=O
BOTT72,1.909,[H]ON([H])C(=O)N([H])N(=O)=O
CEYDUF,1.94,O=N(=O)C(CC(N(=O)=O)(N(=O)=O)N(=O)=O)(CC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O
RDX04,1.82,O=N(=O)N1CN(N(=O)=O)CN(N(=O)=O)C1
LIV13tw,1.9,Nc1c(N(=O)=O)n[nH]c1N(=O)=O
FANTBZ,1.901,FN(F)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
FAYCAJ,1.801,O=N(=O)N1CN(CC(C1)(N(=O)=O)N(=O)=O)N(=O)=O
RIGJIA,1.83,O=N(=O)N1CN(C2C1C1C2N(CN1N(=O)=O)N(=O)=O)N(=O)=O
GICTIV,1.83,O=N(=O)N1C=NC(=N1)N=NC1=NN(C=N1)N(=O)=O
LIV45O,1.886,[H]Oc1nn(=O)c(N(=O)=O)c([H])c1N(=O)=O
NOMKEG,1.865,O=C1N(CC(CN1N(=O)=O)ON(=O)=O)N(=O)=O
LIV25FA,1.777,[H]N1N=C([N-][N+]#N)c(N(=O)=O)=N1
CELFOO,1.924,FC(C1OC(=O)OC1C(F)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O
HNX,1.805,O=N(=O)C(c1ccc(C(N(=O)=O)(N(=O)=O)N(=O)=O)cc1)(N(=O)=O)N(=O)=O
MUGNUX,2.008,O=N(=O)N1C2OC3OC2N(C2OC3OC12)N(=O)=O
ARCH07,1.801,[H]N1CCN(N(=O)=O)C1=C(N(=O)=O)N(=O)=O
SRI1187,1.839,O=N(=O)C(F)(CNc1nnc(NCC(F)(N(=O)=O)N(=O)=O)nn1)N(=O)=O
BOTT14,1.937,O=N(=O)c2nc(c1nc(N(=O)=O)nn1F)n(F)n2
PETN10,1.781,[H]C([H])(ON(=O)=O)C(C([H])([H])ON(=O)=O)(C([H])([H])ON(=O)=O)C([H])([H])ON(=O)=O
DUNDIA,1.891,O=CN1C2C3N(C=O)C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O
SRI02,1.888,O=NC(F)(CN(N(=O)=O)C12C3C4C1C5C2C3C45N(CC(F)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O
BOTT101,1.83,[H]N([H])n1nc(N(=O)=O)nc1c2nc(N(=O)=O)nn2N([H])[H]
QOYJOD,1.919,O=C1NN=C(N1)N(=O)=O
LIV24T,1.835,[H]N([H])c1c(N(=O)=O)nnn1[H]
XOCZUL,1.876,O=C(CN=[N+]=[N-])N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)C(=O)CN=[N+]=[N-]
HAAF08,1.936,[H]N([H])c1c(N(=O)=O)cc(N(=O)=O)c(C(F)(F)F)c1N(=O)=O
LIV49,1.791,[H]c1c(N(=O)=O)c(N(=O)=O)nn1[H]
WISKEO,1.876,COC1OC(C(O1)C(F)(N(=O)=O)N(=O)=O)C(F)(N(=O)=O)N(=O)=O
HASHAK,1.738,O=N(=O)C12C3C4C1C1(C4C3(C21)N(=O)=O)N(=O)=O
BAUM696L,1.662,O=N(=O)OC1CN(N(=O)=O)C1
BEWYOR,1.945,Nc1c(c(N)c(c(F)c1N(=O)=O)N(=O)=O)N(=O)=O
HASHEO,1.814,O=N(=O)C12C3C4(C1C1(C2C3(C41)N(=O)=O)N(=O)=O)N(=O)=O
CEDZUG,1.662,O=N(=O)C12C3C4C1C1C2C3C41N(=O)=O
LIV48,1.823,[H]N([H])C(=O)C1=C(N(=O)=O)C(N(=O)=O)=NN1[H]
NADHOP01,1.704,O=N(=O)N1CC2(CN(CC(C1)(C2)N(=O)=O)N(=O)=O)N(=O)=O
FEKVOG,1.819,Nc1c(c(N)c(c(c2c(c(N)c(c(N)c2N(=O)=O)N(=O)=O)N(=O)=O)c1N(=O)=O)N(=O)=O)N(=O)=O
